Movie,Genre,Duration,Year,Imdb_rating,Metascore_rating,Votes
The Devil Wears Prada,"Comedy, Drama  ",109,2006,69,62,381610
Cars,"Animation, Comedy, Family  ",117,2006,71,73,378478
The Lives of Others,"Drama, Mystery, Thriller  ",137,2006,84,89,366330
The Illusionist,"Drama, Fantasy, Mystery  ",110,2006,76,68,358538
Inside Man,"Crime, Drama, Mystery  ",129,2006,76,76,348176
Mission: Impossible III,"Action, Adventure, Thriller  ",126,2006,69,66,335719
Night at the Museum,"Adventure, Comedy, Family  ",108,2006,64,48,321194
Click,"Comedy, Drama, Fantasy  ",107,2006,64,45,311081
Lucky Number Slevin,"Crime, Drama, Thriller  ",110,2006,77,53,302461
Deja Vu,"Action, Crime, Sci-Fi  ",126,2006,70,59,296994
Apocalypto,"Action, Adventure, Drama  ",139,2006,78,68,295564
Babel,Drama  ,143,2006,74,69,292709
Superman Returns,"Action, Sci-Fi  ",154,2006,60,72,273507
Ice Age: The Meltdown,"Animation, Adventure, Comedy  ",91,2006,68,60,261317
The Holiday,"Comedy, Romance  ",136,2006,69,52,256576
The Fast and the Furious: Tokyo Drift,"Action, Crime, Thriller  ",104,2006,60,45,248978
Perfume: The Story of a Murderer,"Crime, Drama, Fantasy  ",147,2006,75,56,237853
Crank,"Action, Crime, Thriller  ",88,2006,69,57,237725
The Fountain,"Drama, Mystery, Romance  ",97,2006,72,51,231387
Stranger Than Fiction,"Comedy, Drama, Fantasy  ",113,2006,75,67,221552
Silent Hill,"Horror, Mystery  ",125,2006,65,31,216138
Rocky Balboa,"Action, Drama, Sport  ",102,2006,71,63,206939
Underworld: Evolution,"Action, Fantasy, Thriller  ",106,2006,67,36,191974
Saw III,"Crime, Horror, Mystery  ",108,2006,62,48,181993
The Last King of Scotland,"Biography, Drama, History  ",123,2006,77,74,178011
Happy Feet,"Animation, Adventure, Comedy  ",108,2006,64,77,173284
Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport  ",121,2006,66,66,170670
Over the Hedge,"Animation, Adventure, Comedy  ",83,2006,67,67,163041
The Hills Have Eyes,"Horror, Thriller  ",107,2006,64,52,161141
Letters from Iwo Jima,"Action, Adventure, Drama  ",141,2006,79,89,155737
Idiocracy,"Adventure, Comedy, Sci-Fi  ",84,2006,66,66,149483
She's the Man,"Comedy, Romance, Sport  ",105,2006,63,45,148447
The Prestige,"Drama, Mystery, Sci-Fi  ",130,2006,85,66,1219811
The Departed,"Crime, Drama, Thriller  ",151,2006,85,85,1216818
300,"Action, Drama  ",117,2006,76,52,746479
Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy  ",151,2006,73,53,665455
Pan's Labyrinth,"Drama, Fantasy, War  ",118,2006,82,98,629012
Casino Royale,"Action, Adventure, Thriller  ",144,2006,80,80,591301
Blood Diamond,"Adventure, Drama, Thriller  ",143,2006,80,64,509013
X-Men: The Last Stand,"Action, Adventure, Sci-Fi  ",104,2006,67,58,489736
Children of Men,"Adventure, Drama, Sci-Fi  ",109,2006,79,84,472375
The Pursuit of Happyness,"Biography, Drama  ",117,2006,80,64,461497
Little Miss Sunshine,"Comedy, Drama  ",101,2006,78,80,447744
The Da Vinci Code,"Mystery, Thriller  ",149,2006,66,46,408719
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy  ,84,2006,73,89,385585
The Devil Wears Prada,"Comedy, Drama  ",109,2006,69,62,381610
Cars,"Animation, Comedy, Family  ",117,2006,71,73,378478
The Lives of Others,"Drama, Mystery, Thriller  ",137,2006,84,89,366330
The Illusionist,"Drama, Fantasy, Mystery  ",110,2006,76,68,358538
Inside Man,"Crime, Drama, Mystery  ",129,2006,76,76,348176
Mission: Impossible III,"Action, Adventure, Thriller  ",126,2006,69,66,335719
Night at the Museum,"Adventure, Comedy, Family  ",108,2006,64,48,321194
Click,"Comedy, Drama, Fantasy  ",107,2006,64,45,311081
Lucky Number Slevin,"Crime, Drama, Thriller  ",110,2006,77,53,302461
Deja Vu,"Action, Crime, Sci-Fi  ",126,2006,70,59,296994
Apocalypto,"Action, Adventure, Drama  ",139,2006,78,68,295564
Babel,Drama  ,143,2006,74,69,292709
Superman Returns,"Action, Sci-Fi  ",154,2006,60,72,273507
Ice Age: The Meltdown,"Animation, Adventure, Comedy  ",91,2006,68,60,261317
The Holiday,"Comedy, Romance  ",136,2006,69,52,256576
The Fast and the Furious: Tokyo Drift,"Action, Crime, Thriller  ",104,2006,60,45,248978
Perfume: The Story of a Murderer,"Crime, Drama, Fantasy  ",147,2006,75,56,237853
Crank,"Action, Crime, Thriller  ",88,2006,69,57,237725
The Fountain,"Drama, Mystery, Romance  ",97,2006,72,51,231387
Stranger Than Fiction,"Comedy, Drama, Fantasy  ",113,2006,75,67,221552
Silent Hill,"Horror, Mystery  ",125,2006,65,31,216138
Rocky Balboa,"Action, Drama, Sport  ",102,2006,71,63,206939
Underworld: Evolution,"Action, Fantasy, Thriller  ",106,2006,67,36,191974
Saw III,"Crime, Horror, Mystery  ",108,2006,62,48,181993
The Last King of Scotland,"Biography, Drama, History  ",123,2006,77,74,178011
Happy Feet,"Animation, Adventure, Comedy  ",108,2006,64,77,173284
Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport  ",121,2006,66,66,170670
Over the Hedge,"Animation, Adventure, Comedy  ",83,2006,67,67,163041
The Hills Have Eyes,"Horror, Thriller  ",107,2006,64,52,161141
Letters from Iwo Jima,"Action, Adventure, Drama  ",141,2006,79,89,155737
Idiocracy,"Adventure, Comedy, Sci-Fi  ",84,2006,66,66,149483
She's the Man,"Comedy, Romance, Sport  ",105,2006,63,45,148447
The Prestige,"Drama, Mystery, Sci-Fi  ",130,2006,85,66,1219811
The Departed,"Crime, Drama, Thriller  ",151,2006,85,85,1216818
300,"Action, Drama  ",117,2006,76,52,746479
Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy  ",151,2006,73,53,665455
Pan's Labyrinth,"Drama, Fantasy, War  ",118,2006,82,98,629012
Casino Royale,"Action, Adventure, Thriller  ",144,2006,80,80,591301
Blood Diamond,"Adventure, Drama, Thriller  ",143,2006,80,64,509013
X-Men: The Last Stand,"Action, Adventure, Sci-Fi  ",104,2006,67,58,489736
Children of Men,"Adventure, Drama, Sci-Fi  ",109,2006,79,84,472375
The Pursuit of Happyness,"Biography, Drama  ",117,2006,80,64,461497
Little Miss Sunshine,"Comedy, Drama  ",101,2006,78,80,447744
The Da Vinci Code,"Mystery, Thriller  ",149,2006,66,46,408719
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy  ,84,2006,73,89,385585
The Devil Wears Prada,"Comedy, Drama  ",109,2006,69,62,381610
Cars,"Animation, Comedy, Family  ",117,2006,71,73,378478
The Lives of Others,"Drama, Mystery, Thriller  ",137,2006,84,89,366330
The Illusionist,"Drama, Fantasy, Mystery  ",110,2006,76,68,358538
Inside Man,"Crime, Drama, Mystery  ",129,2006,76,76,348176
Mission: Impossible III,"Action, Adventure, Thriller  ",126,2006,69,66,335719
Night at the Museum,"Adventure, Comedy, Family  ",108,2006,64,48,321194
Click,"Comedy, Drama, Fantasy  ",107,2006,64,45,311081
Lucky Number Slevin,"Crime, Drama, Thriller  ",110,2006,77,53,302461
Deja Vu,"Action, Crime, Sci-Fi  ",126,2006,70,59,296994
Apocalypto,"Action, Adventure, Drama  ",139,2006,78,68,295564
Babel,Drama  ,143,2006,74,69,292709
Superman Returns,"Action, Sci-Fi  ",154,2006,60,72,273507
Ice Age: The Meltdown,"Animation, Adventure, Comedy  ",91,2006,68,60,261317
The Holiday,"Comedy, Romance  ",136,2006,69,52,256576
The Fast and the Furious: Tokyo Drift,"Action, Crime, Thriller  ",104,2006,60,45,248978
Perfume: The Story of a Murderer,"Crime, Drama, Fantasy  ",147,2006,75,56,237853
Crank,"Action, Crime, Thriller  ",88,2006,69,57,237725
The Fountain,"Drama, Mystery, Romance  ",97,2006,72,51,231387
Stranger Than Fiction,"Comedy, Drama, Fantasy  ",113,2006,75,67,221552
Silent Hill,"Horror, Mystery  ",125,2006,65,31,216138
Rocky Balboa,"Action, Drama, Sport  ",102,2006,71,63,206939
Underworld: Evolution,"Action, Fantasy, Thriller  ",106,2006,67,36,191974
Saw III,"Crime, Horror, Mystery  ",108,2006,62,48,181993
The Last King of Scotland,"Biography, Drama, History  ",123,2006,77,74,178011
Happy Feet,"Animation, Adventure, Comedy  ",108,2006,64,77,173284
Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport  ",121,2006,66,66,170670
Over the Hedge,"Animation, Adventure, Comedy  ",83,2006,67,67,163041
The Hills Have Eyes,"Horror, Thriller  ",107,2006,64,52,161141
Letters from Iwo Jima,"Action, Adventure, Drama  ",141,2006,79,89,155737
Idiocracy,"Adventure, Comedy, Sci-Fi  ",84,2006,66,66,149483
She's the Man,"Comedy, Romance, Sport  ",105,2006,63,45,148447
The Prestige,"Drama, Mystery, Sci-Fi  ",130,2006,85,66,1219811
The Departed,"Crime, Drama, Thriller  ",151,2006,85,85,1216818
300,"Action, Drama  ",117,2006,76,52,746479
Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy  ",151,2006,73,53,665455
Pan's Labyrinth,"Drama, Fantasy, War  ",118,2006,82,98,629012
Casino Royale,"Action, Adventure, Thriller  ",144,2006,80,80,591301
Blood Diamond,"Adventure, Drama, Thriller  ",143,2006,80,64,509013
X-Men: The Last Stand,"Action, Adventure, Sci-Fi  ",104,2006,67,58,489736
Children of Men,"Adventure, Drama, Sci-Fi  ",109,2006,79,84,472375
The Pursuit of Happyness,"Biography, Drama  ",117,2006,80,64,461497
Little Miss Sunshine,"Comedy, Drama  ",101,2006,78,80,447744
The Da Vinci Code,"Mystery, Thriller  ",149,2006,66,46,408719
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy  ,84,2006,73,89,385585
The Devil Wears Prada,"Comedy, Drama  ",109,2006,69,62,381610
Cars,"Animation, Comedy, Family  ",117,2006,71,73,378478
The Lives of Others,"Drama, Mystery, Thriller  ",137,2006,84,89,366330
The Illusionist,"Drama, Fantasy, Mystery  ",110,2006,76,68,358538
Inside Man,"Crime, Drama, Mystery  ",129,2006,76,76,348176
Mission: Impossible III,"Action, Adventure, Thriller  ",126,2006,69,66,335719
Night at the Museum,"Adventure, Comedy, Family  ",108,2006,64,48,321194
Click,"Comedy, Drama, Fantasy  ",107,2006,64,45,311081
Lucky Number Slevin,"Crime, Drama, Thriller  ",110,2006,77,53,302461
Deja Vu,"Action, Crime, Sci-Fi  ",126,2006,70,59,296994
Apocalypto,"Action, Adventure, Drama  ",139,2006,78,68,295564
Babel,Drama  ,143,2006,74,69,292709
Superman Returns,"Action, Sci-Fi  ",154,2006,60,72,273507
Ice Age: The Meltdown,"Animation, Adventure, Comedy  ",91,2006,68,60,261317
The Holiday,"Comedy, Romance  ",136,2006,69,52,256576
The Fast and the Furious: Tokyo Drift,"Action, Crime, Thriller  ",104,2006,60,45,248978
Perfume: The Story of a Murderer,"Crime, Drama, Fantasy  ",147,2006,75,56,237853
Crank,"Action, Crime, Thriller  ",88,2006,69,57,237725
The Fountain,"Drama, Mystery, Romance  ",97,2006,72,51,231387
Stranger Than Fiction,"Comedy, Drama, Fantasy  ",113,2006,75,67,221552
Silent Hill,"Horror, Mystery  ",125,2006,65,31,216138
Rocky Balboa,"Action, Drama, Sport  ",102,2006,71,63,206939
Underworld: Evolution,"Action, Fantasy, Thriller  ",106,2006,67,36,191974
Saw III,"Crime, Horror, Mystery  ",108,2006,62,48,181993
The Last King of Scotland,"Biography, Drama, History  ",123,2006,77,74,178011
Happy Feet,"Animation, Adventure, Comedy  ",108,2006,64,77,173284
Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport  ",121,2006,66,66,170670
Over the Hedge,"Animation, Adventure, Comedy  ",83,2006,67,67,163041
The Hills Have Eyes,"Horror, Thriller  ",107,2006,64,52,161141
Letters from Iwo Jima,"Action, Adventure, Drama  ",141,2006,79,89,155737
Idiocracy,"Adventure, Comedy, Sci-Fi  ",84,2006,66,66,149483
She's the Man,"Comedy, Romance, Sport  ",105,2006,63,45,148447
The Prestige,"Drama, Mystery, Sci-Fi  ",130,2006,85,66,1219811
The Departed,"Crime, Drama, Thriller  ",151,2006,85,85,1216818
300,"Action, Drama  ",117,2006,76,52,746479
Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy  ",151,2006,73,53,665455
Pan's Labyrinth,"Drama, Fantasy, War  ",118,2006,82,98,629012
Casino Royale,"Action, Adventure, Thriller  ",144,2006,80,80,591301
Blood Diamond,"Adventure, Drama, Thriller  ",143,2006,80,64,509013
X-Men: The Last Stand,"Action, Adventure, Sci-Fi  ",104,2006,67,58,489736
Children of Men,"Adventure, Drama, Sci-Fi  ",109,2006,79,84,472375
The Pursuit of Happyness,"Biography, Drama  ",117,2006,80,64,461497
Little Miss Sunshine,"Comedy, Drama  ",101,2006,78,80,447744
The Da Vinci Code,"Mystery, Thriller  ",149,2006,66,46,408719
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy  ,84,2006,73,89,385585
The Devil Wears Prada,"Comedy, Drama  ",109,2006,69,62,381610
Cars,"Animation, Comedy, Family  ",117,2006,71,73,378478
The Lives of Others,"Drama, Mystery, Thriller  ",137,2006,84,89,366330
The Illusionist,"Drama, Fantasy, Mystery  ",110,2006,76,68,358538
Inside Man,"Crime, Drama, Mystery  ",129,2006,76,76,348176
Mission: Impossible III,"Action, Adventure, Thriller  ",126,2006,69,66,335719
Night at the Museum,"Adventure, Comedy, Family  ",108,2006,64,48,321194
Click,"Comedy, Drama, Fantasy  ",107,2006,64,45,311081
Lucky Number Slevin,"Crime, Drama, Thriller  ",110,2006,77,53,302461
Deja Vu,"Action, Crime, Sci-Fi  ",126,2006,70,59,296994
Apocalypto,"Action, Adventure, Drama  ",139,2006,78,68,295564
Babel,Drama  ,143,2006,74,69,292709
Superman Returns,"Action, Sci-Fi  ",154,2006,60,72,273507
Ice Age: The Meltdown,"Animation, Adventure, Comedy  ",91,2006,68,60,261317
The Holiday,"Comedy, Romance  ",136,2006,69,52,256576
The Fast and the Furious: Tokyo Drift,"Action, Crime, Thriller  ",104,2006,60,45,248978
Perfume: The Story of a Murderer,"Crime, Drama, Fantasy  ",147,2006,75,56,237853
Crank,"Action, Crime, Thriller  ",88,2006,69,57,237725
The Fountain,"Drama, Mystery, Romance  ",97,2006,72,51,231387
Stranger Than Fiction,"Comedy, Drama, Fantasy  ",113,2006,75,67,221552
Silent Hill,"Horror, Mystery  ",125,2006,65,31,216138
Rocky Balboa,"Action, Drama, Sport  ",102,2006,71,63,206939
Underworld: Evolution,"Action, Fantasy, Thriller  ",106,2006,67,36,191974
Saw III,"Crime, Horror, Mystery  ",108,2006,62,48,181993
The Last King of Scotland,"Biography, Drama, History  ",123,2006,77,74,178011
Happy Feet,"Animation, Adventure, Comedy  ",108,2006,64,77,173284
Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport  ",121,2006,66,66,170670
Over the Hedge,"Animation, Adventure, Comedy  ",83,2006,67,67,163041
The Hills Have Eyes,"Horror, Thriller  ",107,2006,64,52,161141
Letters from Iwo Jima,"Action, Adventure, Drama  ",141,2006,79,89,155737
Idiocracy,"Adventure, Comedy, Sci-Fi  ",84,2006,66,66,149483
She's the Man,"Comedy, Romance, Sport  ",105,2006,63,45,148447
The Prestige,"Drama, Mystery, Sci-Fi  ",130,2006,85,66,1219811
The Departed,"Crime, Drama, Thriller  ",151,2006,85,85,1216818
300,"Action, Drama  ",117,2006,76,52,746479
Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy  ",151,2006,73,53,665455
Pan's Labyrinth,"Drama, Fantasy, War  ",118,2006,82,98,629012
Casino Royale,"Action, Adventure, Thriller  ",144,2006,80,80,591301
Blood Diamond,"Adventure, Drama, Thriller  ",143,2006,80,64,509013
X-Men: The Last Stand,"Action, Adventure, Sci-Fi  ",104,2006,67,58,489736
Children of Men,"Adventure, Drama, Sci-Fi  ",109,2006,79,84,472375
The Pursuit of Happyness,"Biography, Drama  ",117,2006,80,64,461497
Little Miss Sunshine,"Comedy, Drama  ",101,2006,78,80,447744
The Da Vinci Code,"Mystery, Thriller  ",149,2006,66,46,408719
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy  ,84,2006,73,89,385585
The Devil Wears Prada,"Comedy, Drama  ",109,2006,69,62,381610
Cars,"Animation, Comedy, Family  ",117,2006,71,73,378478
The Lives of Others,"Drama, Mystery, Thriller  ",137,2006,84,89,366330
The Illusionist,"Drama, Fantasy, Mystery  ",110,2006,76,68,358538
Inside Man,"Crime, Drama, Mystery  ",129,2006,76,76,348176
Mission: Impossible III,"Action, Adventure, Thriller  ",126,2006,69,66,335719
Night at the Museum,"Adventure, Comedy, Family  ",108,2006,64,48,321194
Click,"Comedy, Drama, Fantasy  ",107,2006,64,45,311081
Lucky Number Slevin,"Crime, Drama, Thriller  ",110,2006,77,53,302461
Deja Vu,"Action, Crime, Sci-Fi  ",126,2006,70,59,296994
Apocalypto,"Action, Adventure, Drama  ",139,2006,78,68,295564
Babel,Drama  ,143,2006,74,69,292709
Superman Returns,"Action, Sci-Fi  ",154,2006,60,72,273507
Ice Age: The Meltdown,"Animation, Adventure, Comedy  ",91,2006,68,60,261317
The Holiday,"Comedy, Romance  ",136,2006,69,52,256576
The Fast and the Furious: Tokyo Drift,"Action, Crime, Thriller  ",104,2006,60,45,248978
Perfume: The Story of a Murderer,"Crime, Drama, Fantasy  ",147,2006,75,56,237853
Crank,"Action, Crime, Thriller  ",88,2006,69,57,237725
The Fountain,"Drama, Mystery, Romance  ",97,2006,72,51,231387
Stranger Than Fiction,"Comedy, Drama, Fantasy  ",113,2006,75,67,221552
Silent Hill,"Horror, Mystery  ",125,2006,65,31,216138
Rocky Balboa,"Action, Drama, Sport  ",102,2006,71,63,206939
Underworld: Evolution,"Action, Fantasy, Thriller  ",106,2006,67,36,191974
Saw III,"Crime, Horror, Mystery  ",108,2006,62,48,181993
The Last King of Scotland,"Biography, Drama, History  ",123,2006,77,74,178011
Happy Feet,"Animation, Adventure, Comedy  ",108,2006,64,77,173284
Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport  ",121,2006,66,66,170670
Over the Hedge,"Animation, Adventure, Comedy  ",83,2006,67,67,163041
The Hills Have Eyes,"Horror, Thriller  ",107,2006,64,52,161141
Letters from Iwo Jima,"Action, Adventure, Drama  ",141,2006,79,89,155737
Idiocracy,"Adventure, Comedy, Sci-Fi  ",84,2006,66,66,149483
She's the Man,"Comedy, Romance, Sport  ",105,2006,63,45,148447
The Prestige,"Drama, Mystery, Sci-Fi  ",130,2006,85,66,1219811
The Departed,"Crime, Drama, Thriller  ",151,2006,85,85,1216818
300,"Action, Drama  ",117,2006,76,52,746479
Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy  ",151,2006,73,53,665455
Pan's Labyrinth,"Drama, Fantasy, War  ",118,2006,82,98,629012
Casino Royale,"Action, Adventure, Thriller  ",144,2006,80,80,591301
Blood Diamond,"Adventure, Drama, Thriller  ",143,2006,80,64,509013
X-Men: The Last Stand,"Action, Adventure, Sci-Fi  ",104,2006,67,58,489736
Children of Men,"Adventure, Drama, Sci-Fi  ",109,2006,79,84,472375
The Pursuit of Happyness,"Biography, Drama  ",117,2006,80,64,461497
Little Miss Sunshine,"Comedy, Drama  ",101,2006,78,80,447744
The Da Vinci Code,"Mystery, Thriller  ",149,2006,66,46,408719
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy  ,84,2006,73,89,385585
The Devil Wears Prada,"Comedy, Drama  ",109,2006,69,62,381610
Cars,"Animation, Comedy, Family  ",117,2006,71,73,378478
The Lives of Others,"Drama, Mystery, Thriller  ",137,2006,84,89,366330
The Illusionist,"Drama, Fantasy, Mystery  ",110,2006,76,68,358538
Inside Man,"Crime, Drama, Mystery  ",129,2006,76,76,348176
Mission: Impossible III,"Action, Adventure, Thriller  ",126,2006,69,66,335719
Night at the Museum,"Adventure, Comedy, Family  ",108,2006,64,48,321194
Click,"Comedy, Drama, Fantasy  ",107,2006,64,45,311081
Lucky Number Slevin,"Crime, Drama, Thriller  ",110,2006,77,53,302461
Deja Vu,"Action, Crime, Sci-Fi  ",126,2006,70,59,296994
Apocalypto,"Action, Adventure, Drama  ",139,2006,78,68,295564
Babel,Drama  ,143,2006,74,69,292709
Superman Returns,"Action, Sci-Fi  ",154,2006,60,72,273507
Ice Age: The Meltdown,"Animation, Adventure, Comedy  ",91,2006,68,60,261317
The Holiday,"Comedy, Romance  ",136,2006,69,52,256576
The Fast and the Furious: Tokyo Drift,"Action, Crime, Thriller  ",104,2006,60,45,248978
Perfume: The Story of a Murderer,"Crime, Drama, Fantasy  ",147,2006,75,56,237853
Crank,"Action, Crime, Thriller  ",88,2006,69,57,237725
The Fountain,"Drama, Mystery, Romance  ",97,2006,72,51,231387
Stranger Than Fiction,"Comedy, Drama, Fantasy  ",113,2006,75,67,221552
Silent Hill,"Horror, Mystery  ",125,2006,65,31,216138
Rocky Balboa,"Action, Drama, Sport  ",102,2006,71,63,206939
Underworld: Evolution,"Action, Fantasy, Thriller  ",106,2006,67,36,191974
Saw III,"Crime, Horror, Mystery  ",108,2006,62,48,181993
The Last King of Scotland,"Biography, Drama, History  ",123,2006,77,74,178011
Happy Feet,"Animation, Adventure, Comedy  ",108,2006,64,77,173284
Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport  ",121,2006,66,66,170670
Over the Hedge,"Animation, Adventure, Comedy  ",83,2006,67,67,163041
The Hills Have Eyes,"Horror, Thriller  ",107,2006,64,52,161141
Letters from Iwo Jima,"Action, Adventure, Drama  ",141,2006,79,89,155737
Idiocracy,"Adventure, Comedy, Sci-Fi  ",84,2006,66,66,149483
She's the Man,"Comedy, Romance, Sport  ",105,2006,63,45,148447
The Prestige,"Drama, Mystery, Sci-Fi  ",130,2006,85,66,1219811
The Departed,"Crime, Drama, Thriller  ",151,2006,85,85,1216818
300,"Action, Drama  ",117,2006,76,52,746479
Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy  ",151,2006,73,53,665455
Pan's Labyrinth,"Drama, Fantasy, War  ",118,2006,82,98,629012
Casino Royale,"Action, Adventure, Thriller  ",144,2006,80,80,591301
Blood Diamond,"Adventure, Drama, Thriller  ",143,2006,80,64,509013
X-Men: The Last Stand,"Action, Adventure, Sci-Fi  ",104,2006,67,58,489736
Children of Men,"Adventure, Drama, Sci-Fi  ",109,2006,79,84,472375
The Pursuit of Happyness,"Biography, Drama  ",117,2006,80,64,461497
Little Miss Sunshine,"Comedy, Drama  ",101,2006,78,80,447744
The Da Vinci Code,"Mystery, Thriller  ",149,2006,66,46,408719
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy  ,84,2006,73,89,385585
The Devil Wears Prada,"Comedy, Drama  ",109,2006,69,62,381610
Cars,"Animation, Comedy, Family  ",117,2006,71,73,378478
The Lives of Others,"Drama, Mystery, Thriller  ",137,2006,84,89,366330
The Illusionist,"Drama, Fantasy, Mystery  ",110,2006,76,68,358538
Inside Man,"Crime, Drama, Mystery  ",129,2006,76,76,348176
